"","rab.all","rab.win.ADM","rab.win.HTY","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","species"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus] gauvreauii group;s__nan",0.897852756848755,1.89220265582841,0.62023922823596,-1.75715692692697,6.5672621991734,-0.254217117296054,0.388400000391504,4.50364373228269e-07,6.61191603291911e-06,9.46216347138636e-07,1.27082835182051e-05,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus] gauvreauii group;s__nan"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus] torques group;s__nan",6.57933186883241,8.69295243832886,3.10151472692725,-3.43329759790896,6.88155920658912,-0.500468511377527,0.276544691992164,2.33606225482351e-27,4.10557928826122e-25,1.26413873790902e-28,7.37665743990584e-26,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus] torques group;s__nan"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__nan;s__nan",15.0384860441385,15.9362043113914,14.7385745227165,-1.09782108962049,2.10883396079729,-0.469013653258056,0.296400000813566,8.37639050126431e-15,3.95225235227191e-13,9.23081779845757e-26,2.53093688022151e-23,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__nan;s__nan"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus;s__nan",8.62674005741041,9.00568772550933,8.43954329298072,-0.562360668398864,4.35133638001335,-0.102445281819466,0.429600000239413,0.000217615813854818,0.00225767886131206,0.000845427089460172,0.00828310855766102,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus;s__nan"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus;s__pectinilyticus",0.919617840703776,1.77608369592407,0.668289004406793,-1.5683191578853,6.99874612521384,-0.22047502769918,0.406918616598026,2.63992981607151e-05,0.000230591345213024,1.72921444068922e-05,0.000189352007650336,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus;s__pectinilyticus"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus;s__faecihominis",1.31529728854352,6.63922095161518,0.791030607561064,-3.95725412055148,7.40168371428941,-0.510324297904275,0.311737653200418,2.78420403953546e-15,1.24015452697531e-13,2.35510042850284e-16,1.54035540656869e-14,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus;s__faecihominis"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Colidextribacter;s__nan",5.66293418361373,6.57008204309861,4.98006169132451,-1.08063404116992,6.92836222256156,-0.156363402968071,0.421000000270075,0.00131854348734301,0.0100634134419431,0.00042921170570305,0.00427568086457355,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Colidextribacter;s__nan"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas;s__nan",1.26613749970215,2.79268002512304,0.911069983383301,-2.04992885425829,6.61016453986269,-0.288753765346455,0.369800000465569,3.47897880003451e-08,6.05785009958746e-07,4.86595412311595e-09,1.00424803123943e-07,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas;s__nan"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK4A214 group;s__nan",7.07558959676028,7.95431512744367,6.69494111960927,-1.25626302031836,7.73725649231039,-0.154249387878483,0.416600000285956,0.000945968778385537,0.00796366981966824,0.000325086494622239,0.00345852409416006,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK4A214 group;s__nan"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__nan",4.96217776299828,6.18583633024711,3.76610864566355,-1.6296740066842,6.53870486036813,-0.235639810501522,0.390921816018483,2.62742392680717e-06,3.47872772150022e-05,1.366109862495e-07,2.60195577367345e-06,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__nan"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__nan;s__nan",8.73788629485441,10.0245159447279,8.1279307661949,-1.90423644144067,5.72429454606316,-0.284284992401135,0.346330734418665,1.16759178209383e-11,3.32277285439657e-10,2.14641231355107e-14,1.15172480679896e-12,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__nan;s__nan"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__DTU089;s__nan",1.639953756443,4.10586798364034,1.23275614221637,-2.14038819505492,6.54928587352138,-0.311513262525692,0.366800000477917,1.16523089021418e-07,1.93996072917851e-06,5.80219915495259e-09,1.27092979207328e-07,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__DTU089;s__nan"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__nan",2.25684364678294,5.58308882497817,1.80558823168615,-2.02957844999736,7.58298957198673,-0.261718665837897,0.384200000407878,1.0508597584825e-06,1.53538706446154e-05,1.87054549073462e-07,3.29397567022386e-06,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__nan"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Paludicola;s__nan",0.844360719386676,1.49528421882705,0.642704461545963,-1.1580083583469,5.76843792672686,-0.184593515261435,0.418916217034117,0.000778648256711446,0.00492207667558002,0.000425032112075195,0.00303623457047198,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Paludicola;s__nan"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__bromii",4.97522696485685,9.23710914064241,3.16236052738316,-2.48625774147228,10.4140041861507,-0.253282950522516,0.375124975448762,8.29144074526762e-07,1.2463860953371e-05,1.46901609721948e-07,2.74062365661292e-06,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__bromii"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__nan",9.45789204381398,10.7323778485249,8.93799697360007,-2.08523127943853,6.37661230745538,-0.297011872998447,0.341400000587809,1.34386532764645e-15,6.68548603432351e-14,1.4712735532277e-15,9.44021484901874e-14,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__nan"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum;s__nan",10.3032336051995,10.7242410408091,10.0846810782177,-0.683485817240473,6.47338785866243,-0.0875658518372518,0.439312137777721,0.00728918988836331,0.0457965210362632,0.00158986241918752,0.0141911441725568,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum;s__nan"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1819;s__nan",6.20392405085971,6.97395529754765,5.93312670339384,-0.939410052808651,6.038212760719,-0.148909210594042,0.408800000314462,0.00073258555112976,0.006058252911314,1.18041166758039e-05,0.000165120483368803,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1819;s__nan"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__[Eubacterium] siraeum group;s__nan",2.70407980437043,6.75308950292319,1.90154277271964,-3.18887719344378,7.80749571844621,-0.378620775087954,0.346530694425774,3.18258358871542e-13,1.23910890497733e-11,1.26183660230191e-14,6.44962642192999e-13,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__[Eubacterium] siraeum group;s__nan"
