"","rab.all","rab.win.CRC","rab.win.HTY","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","species"
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__nan",0.706496083962447,1.14782120109004,0.323379480953712,-1.16709597342706,5.7170955067991,-0.18555137880726,0.402719456445669,2.61914587930891e-11,2.0689734090885e-09,1.06515273804968e-07,5.83700645845625e-06,"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__nan"
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella;s__morbillorum",0.64035632304273,0.903497923095633,0.403282170952785,-0.719813363572973,5.51076392113786,-0.112461738683937,0.439400000205012,4.30509755284488e-05,0.00124876759691623,0.00106206201437266,0.0190922604552165,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella;s__morbillorum"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__nan",0.735856699020088,0.974782674963793,0.511115133566163,-0.562949318992865,5.96422965047239,-0.0886261976509667,0.454509098333204,0.000598741607878952,0.00706685278991405,0.00450466421550221,0.0443222630887834,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__nan"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Peptostreptococcus;s__nan",0.477167227974402,0.738529025239125,0.241173979854102,-0.665820756677019,5.19218844828481,-0.112431530949828,0.437912417726613,1.26143097965055e-06,5.88246027151411e-05,0.000359851188357226,0.00807336310767225,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Peptostreptococcus;s__nan"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Peptostreptococcus;s__stomatis",0.86773369903733,1.4709726569769,0.373218446794418,-1.54793404915204,5.9023051032912,-0.238265935741792,0.381923615693612,1.46662679674369e-15,2.87161743873865e-13,5.16741351305517e-11,4.34300077377979e-09,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Peptostreptococcus;s__stomatis"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__nan;g__Parvimonas;s__nan",1.54211334307386,2.93325796860514,0.70972553081986,-2.94917488378136,6.4311564988362,-0.413747594444389,0.327334533746601,1.06645093658628e-29,1.49729711496713e-26,8.16841298663894e-28,1.14684518332411e-24,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__nan;g__Parvimonas;s__nan"
"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Dialister;s__pneumosintes",0.534115190329301,0.852431600518399,0.245240920135702,-0.880418176566902,5.09730874237487,-0.157756872466345,0.421600000267921,1.11590952689202e-06,4.72603209983791e-05,6.99655605796137e-05,0.00166901845832296,"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Dialister;s__pneumosintes"
"d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__nan",1.46570106125658,2.2922061378984,0.866137444874763,-2.06001528943558,7.45813906348508,-0.269397423598092,0.379124175592725,9.22613437560972e-16,1.71077525087079e-13,3.53248267047226e-13,4.65568423415295e-11,"d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__nan"
"d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__nucleatum",0.54725632246218,0.817064123239433,0.300293005265763,-0.736634853100001,5.27125399518101,-0.124548819577859,0.429714057427476,7.88982368252339e-06,0.000270563636223994,0.000432629311564029,0.00855789052680291,"d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__nucleatum"
